url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/bb27c18f-4ef0-4b15-9b48-011895199a52,Nördliches Appartement im ersten Obergeschoss,1708-1713,,bb27c18f-4ef0-4b15-9b48-011895199a52
https://www.deckenmalerei.eu/d773e550-c1d5-4c51-aa90-1550e7194543,Südliches Appartement im ersten Obergeschoss,1708-1712,,d773e550-c1d5-4c51-aa90-1550e7194543
https://www.deckenmalerei.eu/dac1b1f5-e102-4444-a487-95e42b7a117b,"Südliches Appartement im zweiten Obergeschoss, seit 1711 Appartement Carl Ludwig",ab 1708,,dac1b1f5-e102-4444-a487-95e42b7a117b
https://www.deckenmalerei.eu/8734f6a6-ed58-4ac1-a057-200dfd392ad3,„Gülden Gemach“ Stubenappartement im ersten Obergeschoss,1595-1605,,8734f6a6-ed58-4ac1-a057-200dfd392ad3
https://www.deckenmalerei.eu/bf2f6580-d223-48dc-b545-88598801be8c,„Schwarz und Weiß Gemach“ Stubenappartement im zweiten Obergeschoss,1595-1605,,bf2f6580-d223-48dc-b545-88598801be8c
https://www.deckenmalerei.eu/a85605d0-cafc-11e9-8011-4f35d9d770d6,Landesherrliche Gemächer,1667,1667,a85605d0-cafc-11e9-8011-4f35d9d770d6
https://www.deckenmalerei.eu/dac52f46-db3d-4ef6-b513-e4db8ce3b658,sogenannte Räume des Herzogs,1533-39,,dac52f46-db3d-4ef6-b513-e4db8ce3b658
https://www.deckenmalerei.eu/147be190-c5bb-11e9-b6fd-d99e1ba53a95,Sockelgeschoss,,,147be190-c5bb-11e9-b6fd-d99e1ba53a95
https://www.deckenmalerei.eu/d293f630-c5b7-11e9-b6fd-d99e1ba53a95,Erschließungsraumfolge des Schlosses,1763,1763,d293f630-c5b7-11e9-b6fd-d99e1ba53a95
https://www.deckenmalerei.eu/f6c3cec0-c5b9-11e9-b6fd-d99e1ba53a95,Prunkappartement Herzog Carl Eugens,1763-1769,,f6c3cec0-c5b9-11e9-b6fd-d99e1ba53a95
https://www.deckenmalerei.eu/153d136e-4fac-440a-a52c-61a5b078c0a4,Das zweite Obergeschoss mit stuckierten Kaminen der 12 Monate,1716-1725,,153d136e-4fac-440a-a52c-61a5b078c0a4
https://www.deckenmalerei.eu/2093e09a-956b-4b14-a861-fd74b06c9231,Prunkappartement der Markgräfin,1710-1716,,2093e09a-956b-4b14-a861-fd74b06c9231
https://www.deckenmalerei.eu/5ca095c7-05e2-4267-9a21-e9a0ca607045,Privatappartement der Markgräfin,1710-1716,,5ca095c7-05e2-4267-9a21-e9a0ca607045
https://www.deckenmalerei.eu/9adde0a8-045c-4f26-ac19-5e421417631a,Prunkappartement des Erbprinzen,1710-1716,,9adde0a8-045c-4f26-ac19-5e421417631a
https://www.deckenmalerei.eu/9c771c11-18bf-480d-b565-89dad9ad5efb,Erschließungsraumfolge,,,9c771c11-18bf-480d-b565-89dad9ad5efb
https://www.deckenmalerei.eu/a5ef93d3-60e8-4a0e-99d2-e2aef4a35f72,Privatappartement des Erbprinzen und seiner Gemahlin,1710-1716,,a5ef93d3-60e8-4a0e-99d2-e2aef4a35f72
https://www.deckenmalerei.eu/047e9355-9ae0-40e3-95f9-17c3d758d07f,Die Erschließungsraumfolge,"Datierung:1720-1730, Zerstörung: 1943, Rekonstruktion: um 1960",,047e9355-9ae0-40e3-95f9-17c3d758d07f
https://www.deckenmalerei.eu/0d66e824-3b63-445a-b8cf-021a87b6c736,Malereikabinette,Datierung: 1750-1756,,0d66e824-3b63-445a-b8cf-021a87b6c736
https://www.deckenmalerei.eu/2c587c7c-4de6-4e30-a77c-7619b6db3a70,Kaiserliches Quartier,"Datierung: 1720-1731, Ausbau: ab 1736, Umbau: 1751, Zerstörung: 1943, Rekonstruktion: 1972/73",,2c587c7c-4de6-4e30-a77c-7619b6db3a70
https://www.deckenmalerei.eu/5055761e-816f-4aa5-a7e9-8b71bd0febf0,Die Gesellschaftsräume im Obergeschoss,1714-1730,,5055761e-816f-4aa5-a7e9-8b71bd0febf0
https://www.deckenmalerei.eu/58d1c16e-cb0e-4841-af9c-233e3daf70e3,Tafelzimmer im Erdgeschoss mit Wohnappartements des freiherrlichen Paars,1714-1727,,58d1c16e-cb0e-4841-af9c-233e3daf70e3
https://www.deckenmalerei.eu/9375eabf-0d92-4082-8d8c-aa900df3f578,Erschließungsraumfolge mit Treppenhaus und Korridoren,1714-1727,,9375eabf-0d92-4082-8d8c-aa900df3f578
https://www.deckenmalerei.eu/82f65370-c8c3-11e9-bacf-4d9aa20dadba,Französische Kammern,1715,1715,82f65370-c8c3-11e9-bacf-4d9aa20dadba
https://www.deckenmalerei.eu/1d1e8596-0398-45c9-b9ba-91a5ef310be9,Raumprogramm,um 1760,1760,1d1e8596-0398-45c9-b9ba-91a5ef310be9
https://www.deckenmalerei.eu/0683a49a-d55c-40ef-a89f-f111109ce528,Wohnappartement der Herzogin Susanne Elisabeth von Sachsen-Coburg,,,0683a49a-d55c-40ef-a89f-f111109ce528
https://www.deckenmalerei.eu/82d6aaa0-cea7-43f9-a2c0-bdcb484d9bee,Appartement des Herzogs Albrecht von Sachsen-Coburg,,,82d6aaa0-cea7-43f9-a2c0-bdcb484d9bee
https://www.deckenmalerei.eu/81cd1601-a220-42e1-88d4-e92bf9c65922,Weitere Räume im Obergeschoss,,,81cd1601-a220-42e1-88d4-e92bf9c65922
https://www.deckenmalerei.eu/033acbc6-0752-40fd-83e6-a4eb44165560,Die Gemalten Fürstinnenzimmer,1568-1579,,033acbc6-0752-40fd-83e6-a4eb44165560
https://www.deckenmalerei.eu/ed619f27-7ccd-426a-ac08-e826c59a7641,Die Gemalten Fürstenzimmer,1568-1579,,ed619f27-7ccd-426a-ac08-e826c59a7641
https://www.deckenmalerei.eu/e97fcca9-9ebd-4e55-b2b6-ec9465c26885,Erschließung und innere Aufteilung des Schlosses,1723–1727,,e97fcca9-9ebd-4e55-b2b6-ec9465c26885
https://www.deckenmalerei.eu/67ae3416-f907-4246-836e-59d94bb8e89b,Die Gästezimmer,"1747/48, 1771-75, 1842/43",,67ae3416-f907-4246-836e-59d94bb8e89b
https://www.deckenmalerei.eu/164c3ee1-8264-43a9-afde-40aa5c4f3d2f,Erschließungsraumfolge,1603-1608,,164c3ee1-8264-43a9-afde-40aa5c4f3d2f
https://www.deckenmalerei.eu/9ce6834b-87a8-4f89-af52-d07719b69c95,Das fürstliche Appartement im Südflügel,1722,1722,9ce6834b-87a8-4f89-af52-d07719b69c95
https://www.deckenmalerei.eu/15d2c9b8-0f83-4dc9-b83f-51a5aef1a865,Die ehemaligen Räume im ersten Obergeschoss,,,15d2c9b8-0f83-4dc9-b83f-51a5aef1a865
https://www.deckenmalerei.eu/870653e8-5917-43d9-9617-ad1f671c1b1b,Die ehemaligen Räume im zweiten Obergeschoss,,,870653e8-5917-43d9-9617-ad1f671c1b1b
https://www.deckenmalerei.eu/dc3937c8-ffdf-473e-89bb-e640bc47f9bc,Wohnappartement des Markgrafen,1698-1701,,dc3937c8-ffdf-473e-89bb-e640bc47f9bc
https://www.deckenmalerei.eu/03005d01-06db-4599-9696-33a56d12d19c,Hofseitige Räume der Markgräfin,,,03005d01-06db-4599-9696-33a56d12d19c
https://www.deckenmalerei.eu/34486205-405b-4777-b2e3-9ebee30c79f8,Das Appartement im Erdgeschoss auf der Hofseite linker Hand (Nordseite),1700-1702,,34486205-405b-4777-b2e3-9ebee30c79f8
https://www.deckenmalerei.eu/6e0a82b0-5102-4f40-bbcc-a1bf31f64cdd,Erschließungsraumfolge,1700-1702,,6e0a82b0-5102-4f40-bbcc-a1bf31f64cdd
https://www.deckenmalerei.eu/98560fec-c9fb-453f-879d-ec7f31824552,Das Appartement des Erbprinzen im Erdgeschoss auf der Hofseite rechter Hand,1700-1703,,98560fec-c9fb-453f-879d-ec7f31824552
https://www.deckenmalerei.eu/9a190c71-62e6-4686-bfd1-e81ad79293c2,Das Appartement im Erdgeschoss auf der Gartenseite rechter Hand (Südseite),,,9a190c71-62e6-4686-bfd1-e81ad79293c2
https://www.deckenmalerei.eu/a7601772-11ff-4608-b460-84a7efcd475e,Hofseitige Räume des Markgrafen,1700-1702,,a7601772-11ff-4608-b460-84a7efcd475e
https://www.deckenmalerei.eu/e791a6a9-c75a-4e6c-8449-b71cfd7ff304,Paradeappartement der Markgräfin Sibylla Augusta,1700-1706,,e791a6a9-c75a-4e6c-8449-b71cfd7ff304
https://www.deckenmalerei.eu/ec430580-6132-44d8-b10a-d54624e1b6ff,Paradeappartement des Markgrafen Ludwig Wilhelm,1700-1704,,ec430580-6132-44d8-b10a-d54624e1b6ff
https://www.deckenmalerei.eu/9667977a-3428-4ec6-9c15-c51c13a13165,Festräume,um 1790 - 25. Februar 1944,,9667977a-3428-4ec6-9c15-c51c13a13165
https://www.deckenmalerei.eu/7cef0451-4c94-4173-ad06-61d8814e37bd,Wohnräume,nach 1679,,7cef0451-4c94-4173-ad06-61d8814e37bd
https://www.deckenmalerei.eu/ae8fbccb-9304-46b2-a1e9-4ea2d5e0e74c,Repräsentationsräume,,,ae8fbccb-9304-46b2-a1e9-4ea2d5e0e74c
https://www.deckenmalerei.eu/a30cf3a8-6381-4879-8997-2806f69c454a,Erschließungsraumfolge zum 1. Obergeschoss,,,a30cf3a8-6381-4879-8997-2806f69c454a
https://www.deckenmalerei.eu/67f4d660-c5a7-11e9-b229-6b499a37f581,Staatsgemächer,,,67f4d660-c5a7-11e9-b229-6b499a37f581
https://www.deckenmalerei.eu/12960c6b-ab0b-41df-b3ee-ac09c60d7703,Erste Wohnung König Friedrichs des Großen,1740-1742,,12960c6b-ab0b-41df-b3ee-ac09c60d7703
https://www.deckenmalerei.eu/661b83f3-919c-4010-9753-0104d06ba5e1,Zweite Wohnung König Friedrichs des Großen,ab 1747,,661b83f3-919c-4010-9753-0104d06ba5e1
https://www.deckenmalerei.eu/85736afb-26f8-43c9-9907-5d9876656370,Die Sommerwohnung König Friedrich Wilhelm II.,1788,1788,85736afb-26f8-43c9-9907-5d9876656370
https://www.deckenmalerei.eu/8804961a-ec73-4f14-8a55-2286ee999e93,Winterkammern König Friedrich Wilhelms II.,1796/1797,,8804961a-ec73-4f14-8a55-2286ee999e93
https://www.deckenmalerei.eu/a252742e-5660-45e2-a6f3-f277004c2289,Wohnung Königin Elisabeth Christines,um 1742,1742,a252742e-5660-45e2-a6f3-f277004c2289
