appellation,gender,ID
"Hensemann, Anton",MALE,4a337ad2-891f-4f9b-8af1-9fbfc0abfefe
"Göckel, August",MALE,1fb38dc0-3b87-4616-9bc4-e9bad265c401
"Leinberger, Christian",MALE,c3a8a620-9e7b-4769-b8e5-4d1bfbf713db
"Auwera, Jakob van der",MALE,31aa5a9f-f8ce-4ce3-a0b1-a684ace636ff
"Hessen-Wanfried, Christina Franziska Polyxena von",FEMALE,f49439c3-6436-4038-9e27-3dceff3240d3
"Löwenstein-Wertheim-Rochefort, Dominik Marquard von",MALE,0700c15b-25ac-4cc1-b1c7-c9d786f5b294
"Ferrandini, Giovanni Battista",FEMALE,046d04e3-ff94-4f51-82fb-f890a2749289
"Kreß, Johann",MALE,a610c113-5eb3-47bb-8a99-56276b1bd5a0
"Wicko, Johann Baptist",FEMALE,660c8a68-82d6-4412-9223-e3049e7ebffc
"Syrg von Syrgenstein, Franz Johann Anton, Konstanz, Weihbischof",MALE,fcc67a0d-9f8e-4569-8f2b-cd3ac3e1c895
"Donath, Matthias",MALE,32315a5b-2fc8-4c62-ba00-e36b4497bbdf
"Pozzo, Andrea",MALE,1bdb396d-90c6-4c6f-9e03-b22277abb684
"Geiger, Adalbert",MALE,1262dd81-6455-4f18-9f56-4360d314876f
"Pflugk auf Eythra, Andreas",MALE,f6febccd-f2a8-4392-8ee2-64b51c5b772f
"Pflugk, Carl",MALE,c2ea0021-f289-4228-ac9e-b4e26cd97819
"Draschwitz, Georg von",MALE,616cc4cb-0b1d-438f-a93c-b57d71c4a4c0
"von Hennicke, Johann Christian",MALE,418ae8a0-73b8-47ab-a66d-26c192737f98
"Fuchs, Johann Gregor",MALE,83903e8a-cb03-4649-b119-a93aee7b602f
"Schröder, Christian Albrecht",MALE,4833ae1a-0af0-4339-b3b5-5322796ec5de
"Friedrich August II., Sachsen, Kurfürst",MALE,4bd8fd01-6db9-4882-8aa0-a19486838bbe
"Wetzel, Sebastian",MALE,4b957ade-3c97-406d-809c-e4c246e77ad8
"Theil, Benedict",MALE,2d8d08e6-d8e9-4f81-9c26-1595e4cf7d78
"Huck, Eberhard",MALE,c7b0be3b-793f-42dd-82fa-618e9e7ef768
"Warlait, P.",MALE,88244cf6-451d-4d3b-b229-9663d6b4679d
"Metz, Johann Nepomuk",MALE,86b70114-8b5b-40fa-a36c-09512f113d93
"Lipperheide, Elisabeth von",FEMALE,8fa22404-bc2b-4e2b-98d5-8c94b1afdcab
"Etzbach, Margarete Franziska",FEMALE,6653b8b0-af23-4eeb-9f92-2d6014c755da
"Riegeisen, Peter",MALE,6c53b0ff-e972-48dd-9f15-f6d11be38996
"Waldburg, Otto Truchseß, Fürstpropst",MALE,70352b5a-be75-4e65-89f0-dada86ccfba3
"Gottfried Werner, Zimmern, Graf",MALE,7970d910-704e-44ea-82d0-edfec75969be
"Brix, Johann Georg",MALE,a5d860b1-92fd-4ad0-bd18-2c2b59e21c6d
"Froben Ferdinand, Fürstenberg-Meßkirch, Fürst",MALE,c5427445-016c-4a02-8495-e90583734f44
"Bussche zu Hünnefeld, Gerhard Clamor von dem",MALE,f78fe742-72f1-4de7-8489-444488b3760d
"Bussche zu Hünnefeld, Clamor Eberhard von dem",MALE,59962a7b-cff7-4fed-8faf-dad89a23c7d0
"Ernesti, Jordan",,8c7bdd17-ac3c-49cd-9d16-bc8e91b09ca2
Elisabeth Ernestine Antonie von Sachsen-Meiningen,,412e2106-a262-43c4-91b8-f57c74a2e4a8
"Kroll von Freyen, Johann Anton",MALE,3ac02354-6d49-41ff-a456-0591e2444bbe
Unbekannt,,f87e154b-a754-4141-996f-7c49fe09d9e1
"Mörsberg, Peter",MALE,cbac1ff5-7d4a-4aad-942a-0890ac7b48f7
"Mörsberg, Joachim Christoph",MALE,a50ac57f-f388-4737-a398-8930fc9725e0
"Paerna, Carlo",MALE,f0c19eba-ffba-4b46-a017-9e53afbca701
"Weichs zu Körtlinghausen, Franz Otto Freiherr von",MALE,7e43f86b-6f2a-401f-9e51-15bb1fa0dc41
"Wedemeyer, Johann Conrad",MALE,9d484e38-b97a-40db-8b4b-9c40b4e9387c
"Federlin, Tabea",FEMALE,3e37aadd-fd64-4d84-8f34-b11614a9c862
"Speth, Joseph Maria von, Freiherr",MALE,c7ee62e4-6d5b-415a-a6af-e9f3f7a765a4
"Maini, Andrea",MALE,c2103c44-eb08-4a3f-aa86-54ab809d61f9
"Wasmer, Jacob Johann von",MALE,de629599-2dac-446f-9183-cac1ad2266e3
"Salm-Reifferscheidt-Dyck, Franz Ernst zu",MALE,e3053d99-7296-4983-9081-f500ce037c8a
"Salm-Reifferscheidt-Dyck, Franz Johann Wilhelm von",MALE,d5dd988b-9711-4ff4-b501-b01b29d9425d
"Salm-Reifferscheidt-Dyck, August Eugen Bernhard von",MALE,87a53d9d-f653-41e2-8224-902de9402d31
"Oertel-Pohl, Christina",FEMALE,e4e662e6-d49b-4b34-9fe6-94da8622ca3d
"Raab, Christoph",MALE,8c889787-2006-4ba4-ba25-b51e6fd89243
"Manni, Paolo",MALE,bfadc94b-d8e5-444e-8d7d-81ffc5f81f2b
"Farina, Pietro",MALE,317e1da5-9ea9-4607-bbd5-64915a93179e
"Caccioli, Giuseppe Antonio",MALE,17c6f0bf-bd3d-40d0-844d-cba48558283f
"Kratochwil, Johann Adalbert",MALE,600da73c-97b7-4772-917f-dcc1237aa817
"Wurm, Johanna",FEMALE,10d563da-348c-4676-bad1-cd0097312fea
"Schnurbein, Elisabeth von, Freiin",FEMALE,75375cf7-8620-473b-8b03-8883662c398b
"Schnurbein, Jakobina von, Freiin",FEMALE,0c5580fd-6220-4630-bc1c-786b6b63cc8b
"Schnurbein, Louise von, Freiin",FEMALE,a6023fb0-8271-4962-8143-749770de85ca
"Kilian, Magnus",MALE,dab93c5e-3a31-482d-958b-8925df932773
"Philipp Ludwig, Pfalz-Neuburg, Pfalzgraf",MALE,2a63e694-021b-4c4e-8d4b-e63b17bdbf94
"Doctor, Sigmund",MALE,f7d60023-173f-4237-95d3-fb36c693e593
"Riegeisen, Hans",MALE,adbeebb1-c371-46c7-ad53-cba6552d1438
"Vältin, Gilg",MALE,3c084e00-009e-43f2-a1b3-e421194f932f
"Grieneisen, Leonhard",MALE,3d0f2d0c-5504-41ae-9bca-3f066d5fa1e9
"Brockdorff, Heinrich Friedrich von",MALE,b28a1a7c-b07e-4328-901c-60455a617c4a
"Karl Albrecht, Bayern, Kurfürst",MALE,bb30449a-b04e-4ab2-b7d9-fccefaa246d9
